Cabang,Usia_Ulasan,Tanggal_Scrape,Teks_Ulasan,Teks_Bersih,Tanggal_Ulasan,Label_Prediksi
Gacoan Margo,Diedit 3 bulan lalu,2026-04-17,Aduh parah banget pesanan kaga jadi2 nunggu 2 jam lebih. Pulang dah akhirnya tanpa apa2. Kocak banget perbaikan layanannya,aduh parah sekali pesanan kaga jadi2 nunggu 2 jam lebih pulang sudah akhirnya tanpa apa2 kocak sekali perbaikan layanannya,2026-01-17,Negatif
Gacoan Margo,setahun lalu,2026-04-17,"Makanan dan Minuman: Makanan di Gacoan Margonda memang enak dan memiliki cita rasa yang khas. Namun, minuman manisnya terkadang terasa terlalu pekat dan bikin nyangkut di …",makanan dan minuman makanan di gacoan margonda memang enak dan memiliki cita rasa yang khas namun minuman manisnya terkadang terasa terlalu pekat dan bikin nyangkut di,2025-04-17,Negatif
Gacoan Margo,5 bulan lalu,2026-04-17,"cinta bgt sama gacoan plz. enak bgt bgt bgt dimsum nyaaaaaaaaaa omg omg😫😫💕💕💕 pelayanannya oke, tempat rapi dan bersih, lokasi strategis sekali. kalo bisa ada ruangan yg ber ac biar ga kegerahan😁😈😈😈💕 …",cinta sangat sama gacoan plz enak sangat sangat sangat dimsum nyaaaaaaaaaa omg omg pelayanannya oke tempat rapi dan bersih lokasi strategis sekali kalau bisa ada ruangan yang ber ac biar tidak kegerahan,2025-11-17,Positif
Gacoan Margo,Diedit 5 bulan lalu,2026-04-17,"Pelayanan Oke, mienya kenyal, udang kejunya juicy, ambience ok",pelayanan oke mienya kenyal udang kejunya juicy ambience oke,2025-11-17,Positif
Gacoan Margo,10 bulan lalu,2026-04-17,"Jam 3 pagi kmaren kesini sepi banget,pesen mie g nyampe 10 mnt udh di anter. Tapi minumannya lamabgt,udh di bikininnya lama ,eh pas udah jadi lama bgt tibang bunyiin alarm doang jg. gua pun liat klo minuman gua dh jadi drtd tapi (masih …",jam 3 pagi kemarin kesini sepi bangetpesen mie sampai 10 minta sudah di anter tapi minumannya lamabgtudh di bikininnya lama eh pas sudah jadi lama sangat tibang bunyiin alarm saja juga saya pun liat kalau minuman saya sudah jadi dari tadi tapi masih,2025-06-17,Negatif
Gacoan Margo,4 bulan lalu,2026-04-17,tempat paling enak makan bareng keluarga .. anak² bisa main karena ada area panggung kecil..,tempat paling enak makan bareng keluarga anak² bisa main karena ada area panggung kecil,2025-12-17,Positif
Gacoan Margo,4 bulan lalu,2026-04-17,"Pelayanan yang ramah, makanan yg enak dan murah",pelayanan yang ramah makanan yang enak dan murah,2025-12-17,Positif
Gacoan Margo,sebulan lalu,2026-04-17,"Saya baru pertama kali ke tempat gacoan karena selalu fyp terus di TikTok maupun YouTube, nah habis itu saya memutuskan cobain makan mie gacoan tapi yang level 1 dulu cobain takutnya pedas. Hehehe",saya baru pertama kali ke tempat gacoan karena selalu fyp terus di tiktok maupun youtube nah habis itu saya memutuskan cobain makan mie gacoan tapi yang level 1 dulu cobain takutnya pedas hehehe,2026-03-17,Negatif
Gacoan Margo,11 bulan lalu,2026-04-17,"Jam 18.35 hari Senin kemarin saya makan Gacoan untuk dine in.untuk makanan overall ok sejauh ini,tapi ada yang membuat saya agak kurang nyaman ya karna saya gatau itu leader atau managernya pakek baju warna abu mix biru,tapi ga sopan naik …",jam 1835 hari senin kemarin saya makan gacoan untuk dine inuntuk makanan overall oke sejauh initapi ada yang membuat saya agak kurang nyaman ya karena saya tidak tahu itu leader atau managernya pakai baju warna abu mix birutapi tidak sopan naik,2025-05-17,Negatif
Gacoan Margo,3 bulan lalu,2026-04-17,"Baru lagi makan gacoan di tahun 2026, awalnya dine in kemudian beberapa side dish gak habis dan kita ke tempat staff nya buat minta bungkus . Di infoin sama staff nya kalau di bungkus kena 1000 perbox . Di suruh bayar ke …",baru lagi makan gacoan di tahun 2026 awalnya dine in kemudian beberapa side dish tidak habis dan kita ke tempat staff nya buat minta bungkus di infoin sama staff nya kalau di bungkus kena 1000 perbox di suruh bayar ke,2026-01-17,Negatif
Gacoan Margo,4 bulan lalu,2026-04-17,"masak mienya ga mateng, udah komplain ownernya udah tau diem aja ga diganti, nunggu lama banget akhirnya gue pulang",masak mienya tidak matang sudah komplain ownernya sudah tahu diam saja tidak diganti nunggu lama sekali akhirnya saya pulang,2025-12-17,Negatif
Gacoan Margo,3 tahun lalu,2026-04-17,"Ke Mie Gacoan lagi... Setelah ke cabang bogor 2x, kali ini cobain yang di cabang Depok, pas kesana tgl 18 Agt 2022,Kamis mlm jumat sampai di sana jam8 mlm. Antri nya ga begitu panjang, ga seseram yg dibayangkan, ga tau knp.. Apa mungkin …",ke mie gacoan lagi setelah ke cabang bogor 2x kali ini cobain yang di cabang depok pas kesana tanggal 18 agt 2022kamis malam jumat sampai di sana jam8 malam antri nya tidak begitu panjang tidak seseram yang dibayangkan tidak tahu kenapa apa mungkin,2023-04-17,Negatif
Gacoan Margo,2 bulan lalu,2026-04-17,"Kenapa yah? Saya mesen di gofood level 1, terus pas nyampe saya buka bungkusan nya pas diliat banyak rawit nya, eh ternyata level 6 yang Dateng, anjir lah saya baru sembuh kemarin pas sakit 2 hari disuruh makan pedes lagi, udh gitu di …",kenapa yah saya pesan di gofood level 1 terus pas sampai saya buka bungkusan nya pas diliat banyak rawit nya eh ternyata level 6 yang datang anjir lah saya baru sembuh kemarin pas sakit 2 hari disuruh makan pedas lagi sudah begitu di,2026-02-17,Negatif
Gacoan Margo,7 bulan lalu,2026-04-17,"Selalu jadi alternatif kalo lagi laper dan pengen hemat haha, pedesnya oke sesuai level, rasanya oke dan harganya affordable. Cuman sayangnya kalo siang puanas polll karena kipasnya ga muter heuheu",selalu jadi alternatif kalau lagi lapar dan ingin hemat haha pedesnya oke sesuai level rasanya oke dan harganya affordable hanya sayangnya kalau siang puanas polll karena kipasnya tidak muter heuheu,2025-09-17,Negatif
Gacoan Margo,3 tahun lalu,2026-04-17,"Nyobain yg mie setan lvl 1, krn pertama kali nyoba mau tau level terendahnya dulu, tktnya mubazir ga kemakan kl lgsg pesen level yg tengah2, utk rasa sih dominan asin ya, mienya ga tau kenapa agak lengket2, tp adonannya enak, sedikit kenyal …",coba yang mie setan level 1 karena pertama kali coba mau tahu level terendahnya dulu tktnya mubazir tidak kemakan kalau langsung pesan level yang tengah2 untuk rasa sih dominan asin ya mienya tidak tahu kenapa agak lengket2 tapi adonannya enak sedikit kenyal,2023-04-17,Negatif
Gacoan Margo,6 bulan lalu,2026-04-17,"Langganan gacoan disiniii, tekstur mienya konsisten, ga pernah yg lengket, harganya jg affordable, dr segi rasa jg disini enaknya konsisten 👍 …",langganan gacoan disiniii tekstur mienya konsisten tidak pernah yang lengket harganya juga affordable dari segi rasa juga disini enaknya konsisten,2025-10-17,Positif
Gacoan Margo,2 bulan lalu,2026-04-17,"Mie nya lodohh bgt dan gaada rasa, pdhl baru datang Dan langsung dimakan. Udang rambutan + keju nya pun berminyak bgt. Semoga diperbaiki lagi kualitas produknya, karna biasa beli gacoan di tempat lain enak enak ajaa:)",mie nya lodohh sangat dan tidak ada rasa padahal baru datang dan langsung dimakan udang rambutan keju nya pun berminyak sangat semoga diperbaiki lagi kualitas produknya karena biasa beli gacoan di tempat lain enak enak ajaa,2026-02-17,Negatif
Gacoan Margo,2 bulan lalu,2026-04-17,"Rasa mie makin ke sini makin kurang, udang keju tidak seperti biasanya,. Sangat kecewa, Trus makanan harus diambil sendiri,sedangkan suara panggilan kurang jelas, …",rasa mie makin ke sini makin kurang udang keju tidak seperti biasanya sangat kecewa terus makanan harus diambil sendirisedangkan suara panggilan kurang jelas,2026-02-17,Negatif
Gacoan Margo,3 bulan lalu,2026-04-17,"enakkk, pelayanan cepat dan ramah es teh segerrrrr",enakkk pelayanan cepat dan ramah es teh segerrrrr,2026-01-17,Positif
Gacoan Margo,5 bulan lalu,2026-04-17,"Tempat nyaman, pelayanan ramah, rasa cocok semua usia",tempat nyaman pelayanan ramah rasa cocok semua usia,2025-11-17,Positif
Gacoan Margo,6 bulan lalu,2026-04-17,"Waktu makan dine in prosesnya cepet, rasa seperti biasanya👌 …",waktu makan dine in prosesnya cepat rasa seperti biasanya,2025-10-17,Positif
Gacoan Margo,7 bulan lalu,2026-04-17,"Saya baru saja take away digacoan margonda, tetapi mendapatkan perlakuan yang memalukan dari karyawannya. Saat nama saya dipanggil, saya menyerahkan kertas bill tetapi tidak ditanggapi dan karyawannya yang berbadan agak gemuk hanya melirik …",saya baru saja take away digacoan margonda tetapi mendapatkan perlakuan yang memalukan dari karyawannya saat nama saya dipanggil saya menyerahkan kertas bill tetapi tidak ditanggapi dan karyawannya yang berbadan agak gemuk hanya melirik,2025-09-17,Negatif
Gacoan Margo,2 tahun lalu,2026-04-17,Untuk pertama kalinya aku makan mie gacoan langsung di tempat. Sebelumnya aku biasa pesan lewat aplikasi online. …,untuk pertama kalinya saya makan mie gacoan langsung di tempat sebelumnya saya biasa pesan lewat aplikasi online,2024-04-17,Negatif
Gacoan Margo,6 bulan lalu,2026-04-17,"udh langganan bgt sering ke sini buat sekedar nongki, nyaman bgt tempatnya, pelayanan nya juga oke banget ramah ramah cekatan bersih tempatnya",sudah langganan sangat sering ke sini buat sekedar nongki nyaman sangat tempatnya pelayanan nya juga oke sekali ramah ramah cekatan bersih tempatnya,2025-10-17,Positif
Gacoan Margo,5 bulan lalu,2026-04-17,Tempatnya bagus dan makanan nya enak Pelayanan nya oke👍 …,tempatnya bagus dan makanan nya enak pelayanan nya oke,2025-11-17,Positif
Gacoan Margo,9 bulan lalu,2026-04-17,"padahal sering banget makan di gacoan margonda ini, tpi baru kli ini di bikin kecewa bangett sama pelayanannya. Jadi hari ini tepatnya dini hari awal bulan Juli jam 00.30 aku dan suami makan di gacoan margonda ini kondisi lgi ujan deres, …",padahal sering sekali makan di gacoan margonda ini tapi baru kali ini di bikin kecewa sangat sama pelayanannya jadi hari ini tepatnya dini hari awal bulan juli jam 0030 saya dan suami makan di gacoan margonda ini kondisi lagi ujan deras,2025-07-17,Negatif
Gacoan Margo,2 tahun lalu,2026-04-17,"Cabang pertama di Depok, kini mie gacoan sudah tidak sehype waktu awal buka. Tidak bnyak antrian yg menjulur smpe keluar. Smpai2 kasir dibuka dua2nya, jdi bukan hanya khusus layanan online saja. …",cabang pertama di depok kini mie gacoan sudah tidak sehype waktu awal buka tidak banyak antrian yang menjulur sampai keluar smpai2 kasir dibuka dua2nya jadi bukan hanya khusus layanan online saja,2024-04-17,Negatif
Gacoan Margo,11 bulan lalu,2026-04-17,1. mie nya terasa hambar dan terlalu basah jadi nya nyemek 2. udang keju dan lumpia udang nya juga sangat terlihat seperti digoreng ulang sepertinya masih sisa bekas semalam …,1 mie nya terasa hambar dan terlalu basah jadi nya nyemek 2 udang keju dan lumpia udang nya juga sangat terlihat seperti digoreng ulang sepertinya masih sisa bekas semalam,2025-05-17,Negatif
Gacoan Margo,setahun lalu,2026-04-17,"ini agak aneh ya. sengaja pesan SHUBUH biar ga terlalu hectic orderan SAHUR, eh malah apes. bikin seperti di buru2. pesan hompimpa 3 GA ADA RASANYA SEMUA, udah gitu dikasih BONUS RAMBUT 2 HELAI. akhirnya cuma kemakan 2(hompimpa dan gacoan) …",ini agak aneh ya sengaja pesan shubuh biar tidak terlalu hectic orderan sahur eh malah apes bikin seperti di buru2 pesan hompimpa 3 tidak ada rasanya semua sudah begitu dikasih bonus rambut 2 helai akhirnya cuma kemakan 2hompimpa dan gacoan,2025-04-17,Negatif
